Complexity,Loss,Equation
1,3.7645712,"0.9928613"
3,3.7357566,"(0.9606646 / x1)"
4,3.7219522,"(0.6899418 / log1p(x1))"
5,3.7065108,"log1p(sqrt(x3 / x1))"
6,3.6723998,"(sqrt(x0 + x2) / x1)"
7,3.661529,"(0.83040774 - (x4 * (-0.0077967797 * x2)))"
8,3.594573,"(0.8611345 - log1p((x4 * x2) * -0.0048591886))"
9,3.5891793,"(0.8234103 - (x4 * (-0.0074400785 * (x2 / x1))))"
10,3.546383,"(0.8618191 - log1p((x2 * (x4 / x5)) * -0.16044545))"
12,3.5234659,"(0.87626886 - log1p(((x4 * 0.40925038) * (-0.0077907066 * x2)) / x1))"
14,3.522853,"(0.89286447 - log1p((((x4 + x3) * 0.39753953) * (-0.0077967797 * x2)) / x1))"
15,3.5223992,"(log1p(1.4014803) - log1p((((x4 + x3) * 0.39753953) * (-0.0077967797 * x2)) / x1))"
